StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,IH_1,IH_2,IH_3,IH_4,IH_5,IH_6,IH_7,IH_8,IH_9,IH_10,IH_11,IH_12,IH_13,IH_14,IH_15,IH_C1,IH_C2,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,O_1,Q210,Q212,Q214,Q216,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,O_2,Q198,Q200,Q202,Q204,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,O_3,Q186,Q188,Q190,Q192,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,O_4,Q175,Q177,Q179,Q180,Q206_First Click,Q206_Last Click,Q206_Page Submit,Q206_Click Count,O_5,Q163,Q165,Q167,Q169,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,O_6,Q151,Q153,Q155,Q157,gender,gender_3_TEXT,age,education,income,religion,religion_14_TEXT,race,race_11_TEXT,conservatism,English,debrief_1,debrief_2,debrief_3,debrief_4,attn,SC3,SC5,randomCode
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. This study is approved under protocol #IRB-23274, “Reproducibility of psychological science and instruction.”

 

If you have questions about this research, please contact us at stanfordpsych251@gmail.com. 

 

You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. 

 

Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available here. (Links to an external site.).Links to an external site.","We use red in traffic lights to mean ""stop"" because of something about the color red or about stop lights—maybe the color red inherently acts as a warning.
 

Do you disagree or agree with this explanation?","Parents and children sleep in different beds because of something about the parent-child relationship or about the act of sleeping in separate beds—maybe one of the critical components of the parent-child relationship is teaching children independence.
Do you disagree or agree with this explanation?","Engagement rings typically have diamonds because of something about engagement rings or about diamonds—maybe diamonds' rarity and value is a match for the value of romantic love.
Do you disagree or agree with this explanation?","Dollar bills are green because of something about dollar bills or about the color green—maybe since green is the color of trees it symbolizes endurance and trust and thus was chosen for money.
Do you disagree or agree with this explanation?","We don't keep chipmunks as pets because of something about chipmunks or about pets—maybe because chipmunks don't like to be picked up or held.
Do you disagree or agree with this explanation?","We drink orange juice for breakfast because of something about orange juice or about breakfast—maybe the citrus aroma is refreshing and helps us to wake up.
Do you disagree or agree with this explanation?","Pink is the color associated with girls because of something about the color pink or about girls—maybe because pink's flower-like appearance matches girls' dainty nature.
Do you disagree or agree with this explanation?","Wedding dresses are white because of something about the color white or about wedding dresses—maybe because the untainted nature of white reminds people of pure love.
Do you disagree or agree with this explanation?","Black is associated with funerals because of something about the color black or about funerals—maybe because the darkness of black conveys how people feel at funerals.
Do you disagree or agree with this explanation?","Toothpaste is flavored with mint because of something about toothpaste or about mint—maybe the tingling sensation of mint makes one's teeth and gums feel extra clean.
Do you disagree or agree with this explanation?","There are 7 days in a week because of something about the quantity of 7 days or about the week as a marker of time—maybe the week is meant to align with phases of the moon, which are about 7 days long.
Do you disagree or agree with this explanation?","Weekends consist of Saturday and Sunday because of something about weekends or about Saturday and Sunday—maybe Saturday and Sunday are holy days for many people, and so people wouldn't be able to work.
Do you disagree or agree with this explanation?","Intelligent organisms on Earth have 2 arms and 2 legs because of something about intelligent organisms or about having 2 arms and 2 legs—maybe having 2 arms and 2 legs is the perfect balance between tool use and locomotion for intelligent organisms.
Do you disagree or agree with this explanation?","Intelligent organisms on Earth have eyes and ears because of something about intelligent organisms or about eyes and ears—maybe eyes and ears are optimal for perceiving the world.
Do you disagree or agree with this explanation?","Intelligent organisms on Earth communicate through sound because of something about intelligent organisms or about communicating through sounds—maybe communicating through sound allows intelligent organisms to communicate over longer distances or while engaged in other activities.
Do you disagree or agree with this explanation?","This item was designed to assess whether participants are paying attention while filling out the survey—please click on the number three below to indicate that you are in fact paying attention.
Do you disagree or agree with this explanation?","This item was designed to assess whether participants are paying attention while filling out the survey—please click on the number seven below to indicate that you are in fact paying attention.
Do you disagree or agree with this explanation?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many Americans eat pizza?",Do you think the amount of pizza sold will grow in the next 5 years?,What do you think accounts for the current prices of pizza?,How far back do you think data has been collected on pizza consumption in the United States?,What are your pizza consumption habits?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans watch football?","Do you think the number of viewers who watch the games live
will stay at around 6% over the next 5 years?","What do you think accounts for why only 6% of football viewers
watch the games live (that is, in person)?","How far back do you think data has been
collected on football viewership in the United States?",What are your football viewing habits?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans drive to work?","Do you think the percentage of people who
ride their bikes to work will continue to stay low over the next 5 years?","What do you think accounts for why so few
Americans ride their bikes to work?",How far back do you think data has been collected on driving rates in the United States?,What are your driving habits?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many American households own a TV?","Do
you think the average number of shows and movies that Americans watch per week
will continue to grow over the next 5 years?","What do you think accounts for the
growing number of available devices to watch videos?",How far back do you think data has been collected on TV viewing in the United States?,What are your TV viewing habits?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many Americans use email?","Do
you think the overall population of internet users will continue to grow in the next 5 years?","What do you
think accounts for the recent rise in the population of internet users?",How far back do you think data has been collected on email and internet search use in the United States?,What are your email and internet search habits?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans drink
coffee?","Do you think the single cup brewing format is going to grow
in the future?","What do you think accounts for the success of the single cup
brew?","How far back do you think data has been
collected on coffee consumption in the United States?",What are your coffee drinking habits?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your age (in years)?,What is the highest level of education you have completed?,What is your approximate yearly household income?,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other - Text,What is your racial or ethnic identity? - Selected Choice,What is your racial or ethnic identity? - Other - Text,How would you describe your political attitudes? Please select one of the points on the scale below.,Please rate your overall ability in the English language:,1. Did you find any aspect of the procedure odd or confusing?,2. What did you think we were studying?,"3. Do you think that there may have been more to this study than meets the eye? If so, what do you think this might have been?",4. Do you have any additional thoughts or comments about the study?,"Thank you for completing this survey! We just have one last question for you. You will not be penalized for your answer to this question. Since you completed the whole survey, you will receive payment no matter what answer you give here.

	 

	It's very important to the quality and scientific aims of our study that participants pay attention (i.e., read the survey carefully, consider the response options, and avoid distractions).

	

	Were you paying attention while completing this survey?",InhHeur,IHCatch,randomCode
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID617""}","{""ImportId"":""QID67""}","{""ImportId"":""QID65""}","{""ImportId"":""QID64""}","{""ImportId"":""QID368""}","{""ImportId"":""QID369""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60""}","{""ImportId"":""QID59""}","{""ImportId"":""QID58""}","{""ImportId"":""QID57""}","{""ImportId"":""QID56""}","{""ImportId"":""QID55""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53""}","{""ImportId"":""QID52""}","{""ImportId"":""QID616""}","{""ImportId"":""QID495_FIRST_CLICK""}","{""ImportId"":""QID495_LAST_CLICK""}","{""ImportId"":""QID495_PAGE_SUBMIT""}","{""ImportId"":""QID495_CLICK_COUNT""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468""}","{""ImportId"":""QID469_TEXT""}","{""ImportId"":""QID470""}","{""ImportId"":""QID471_TEXT""}","{""ImportId"":""QID496_FIRST_CLICK""}","{""ImportId"":""QID496_LAST_CLICK""}","{""ImportId"":""QID496_PAGE_SUBMIT""}","{""ImportId"":""QID496_CLICK_COUNT""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID463_TEXT""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465_TEXT""}","{""ImportId"":""QID499_FIRST_CLICK""}","{""ImportId"":""QID499_LAST_CLICK""}","{""ImportId"":""QID499_PAGE_SUBMIT""}","{""ImportId"":""QID499_CLICK_COUNT""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID457_TEXT""}","{""ImportId"":""QID458""}","{""ImportId"":""QID459_TEXT""}","{""ImportId"":""QID500_FIRST_CLICK""}","{""ImportId"":""QID500_LAST_CLICK""}","{""ImportId"":""QID500_PAGE_SUBMIT""}","{""ImportId"":""QID500_CLICK_COUNT""}","{""ImportId"":""QID449""}","{""ImportId"":""QID450""}","{""ImportId"":""QID451_TEXT""}","{""ImportId"":""QID452""}","{""ImportId"":""QID453_TEXT""}","{""ImportId"":""QID497_FIRST_CLICK""}","{""ImportId"":""QID497_LAST_CLICK""}","{""ImportId"":""QID497_PAGE_SUBMIT""}","{""ImportId"":""QID497_CLICK_COUNT""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445_TEXT""}","{""ImportId"":""QID446""}","{""ImportId"":""QID447_TEXT""}","{""ImportId"":""QID498_FIRST_CLICK""}","{""ImportId"":""QID498_LAST_CLICK""}","{""ImportId"":""QID498_PAGE_SUBMIT""}","{""ImportId"":""QID498_CLICK_COUNT""}","{""ImportId"":""QID437""}","{""ImportId"":""QID438""}","{""ImportId"":""QID439_TEXT""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_3_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID618""}","{""ImportId"":""QID619""}","{""ImportId"":""QID619_14_TEXT""}","{""ImportId"":""QID620""}","{""ImportId"":""QID620_11_TEXT""}","{""ImportId"":""QID178""}","{""ImportId"":""QID307""}","{""ImportId"":""QID297_TEXT""}","{""ImportId"":""QID298_TEXT""}","{""ImportId"":""QID299_TEXT""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID302""}","{""ImportId"":""SC4""}","{""ImportId"":""SC6""}","{""ImportId"":""randomCode""}"
12/10/2018 12:13,12/10/2018 12:26,IP Address,100,743,TRUE,12/10/2018 12:26,R_vprq9AwrZX8sqJj,anonymous,EN,I agree,Agree strongly 9,8,Disagree strongly 1,4,3,2,8,4,Agree strongly 9,6,8,8,Disagree strongly 1,Agree strongly 9,Agree strongly 9,3,7,43.868,67.491,77.126,6,"
	Definitely no

	1
",Yes,i think the convenience factor contributes to the price.,20-30 years,1 every 2-3 months,18.006,39.742,90.624,8,"
 Really good

 9",Yes,peoples work schedules have drastically changed from the 9-5 over the last 20 years and the ease of television recording is unprecedented. ,40 or more years,2 days out of the week,25.546,66.002,83.403,9,4,Yes,the lack of public transport for many of america's rural or semi-rural communities.,30-40 years,60-100 miles per week.,50.665,72.53,76.301,5,4,Yes,technology has made drastic jumps on recent years.,20-30 years,daily,12.327,95.543,96.511,9,7,Yes,the accessibility and it's cheaper to access.,20-30 years,multiple times daily on both,6.805,40.909,43.415,7,"
	Really good

	9
",Yes,the accessibility and affordability of in home appliances.,20-30 years,daily,Female,,33,Some college,"$35,000 to $50,000",Roman Catholic,,White/European American,,Strongly  conservative 9,Native (learned from birth),no,how people think consumers habits are growing. ,no,the instructions were clear and easy to understand.,Yes,89,1,362900
12/10/2018 12:14,12/10/2018 12:26,IP Address,100,718,TRUE,12/10/2018 12:26,R_3RlJ5zBhFKSWoU1,anonymous,EN,I agree,8,Neither agree nor disagree 5,8,3,Agree strongly 9,4,Neither agree nor disagree 5,Disagree strongly 1,6,7,Neither agree nor disagree 5,7,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,3,7,0.72,49.64,50.1,21,"
Definitely yes

 9",Yes,Rise in price of the ingredients,30-40 years,I eat it about twice a month ,1.07,78.28,78.8,17,"
 Really good

 9",Yes,People are busy and it’s more convenient to dvr it,30-40 years,"I watch my favorite team every week. I will watch a good matchup even if it’s not my favorite team,if I have time ",1.142,73.831,74.401,19,7,Yes,Quickest to drive,20-30 years,I drive everywhere I need to go,1.769,88.008,88.468,25,"
Definitely yes

 9",Yes,Advanced technology ,30-40 years,I dvr my shows and watch later at a more convenient time ,0.972,99.186,99.702,26,"Definitely yes

 9",Yes,The convenience of it,20-30 years,I check email daily. I search the internet for solutions to problems and to search for products ,4.96,137.849,138.644,21,4,Yes,It’s convenient and has many flavors to choose from ,40 or more years,I have 2 cups in the morning every day ,Male,,64,Some college,"$65,000 to $80,000",Roman Catholic,,White/European American,,8,Native (learned from birth),No,Our practices,No,No,Yes,83,1,938974
12/10/2018 12:20,12/10/2018 12:28,IP Address,100,511,TRUE,12/10/2018 12:28,R_1QbdHUg2Ha4MYn9,anonymous,EN,I agree,7,Neither agree nor disagree 5,Neither agree nor disagree 5,6,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,4,6,6,Neither agree nor disagree 5,Neither agree nor disagree 5,4,4,3,7,5.019,41.302,42.491,16,"
5",Yes,competitive pricing strategies,10-20 years,occasionally,8.351,61.673,62.786,9,5,Yes,Other obligations that are more important than sports,10-20 years,I don't watch football,9.063,45.605,47.654,11,5,Yes,"pollution, save ozone ",10-20 years,"own vehicle, drive everywhere",11.281,40.487,41.789,10,5,Yes,Technology is developing,10-20 years,Only watch news in the evening,4.03,43.096,45.701,11,8,Yes,Everything is more technological,20-30 years,daily use,5.954,51.658,52.956,13,5,Yes,"people are on the move, fast paced, need quick energy boost",10- 20 years,Never drink coffee,Female,,42,"Bachelor's (B.A., B.S.)","$35,000 to $50,000",Nothing in particular,,Black/African American,,2,Native (learned from birth),No,perception,No,No,Yes,77,1,382043
12/10/2018 12:15,12/10/2018 12:29,IP Address,100,857,TRUE,12/10/2018 12:29,R_1djpo9dcilfcNRR,anonymous,EN,I agree,Agree strongly 9,8,Agree strongly 9,Agree strongly 9,8,8,8,8,Agree strongly 9,8,Agree strongly 9,Agree strongly 9,8,8,Agree strongly 9,8,7,6.632,174.842,175.988,17,8,No,8.9,10-20 years,"Everyone is eating pizza today. Pizza stores are even selling pizzas that have gluten free crusts to reach out to niche spending habits and health trends. Because the toppings can be so varied, crust levels can be thin or thick, and one can even put barbecue sauce on a pizza and call it good, there’s no denying the love of pizza in the world today.",6.176,29.846,47.384,5,8,Yes,nice,20-30 years,i like to watch football,4.364,59.466,60.23,23,7,Yes,"Mental illness and cycling. Mental health conditions such as depression, stress and anxiety can be reduced by regular bike riding. This is due to the effects of the exercise itself and because of the enjoyment that riding a bike can bring.",20-30 years,"Keep the phone away. ...
Stick to the speed limit. ...
Safe following distance. ...
Turn headlights on when necessary. ...
Check tyres, oil and water. ...
Don't drink and drive. ...
Be alert and aware. ...
Turn down the music.",15.518,70.011,72.381,12,7,Yes,"Hulu. Plans: For $7.99 a month, subscribers can access the Hulu Streaming Library. ...
Netflix. ...
Sling TV. ...
HBO Now. ...
Amazon Prime Video. ...
YouTube TV. ...
Philo TV. ...
PlayStation Vue.",10-20 years,"Older US viewers in particular are rapidly changing their viewing habits, spending more time watching on smartphones, computers, and tablets rather than on the boob tube. And viewers are spending less time watching TV in their homes.",4.655,167.284,168.051,27,7,Yes,"Global internet users: more than 3.8 billion people around the world use the internet today, up 38 million since January 2017. This one percent increase takes global internet penetration to 51 percent – in other words, people who don't use the internet are increasingly in the minority.",40 or more years,"Not quite, but it's frightening close. Your Internet service provider tracks what IP addresses you contact, which effectively means they know the web sites you're visiting. They can also read anything you send over the Internet that isn't encrypted. Whether they actually do that is an open question",7.711,121.665,130.297,10,7,Yes,"If only brewing great coffee could be as simple as buying great coffee beans. In the wine industry, the wine maker has complete control over their product from start to finish. You know you’ll enjoy a wonderful glass of wine when you buy it from an excellent winemaker. Unlike the wine industry, coffee requires that customers use a bit of their own barista skills in order to brew their cup. This can be a great thing or an unfortunate thing depending on how you look at it. On one hand, errors in brewing can ruin the quality of coffee, producing a less than enjoyable cup – wasting the time and money that went into brewing it. On the other hand, if you are armed with the proper tools and information, you can tweak brewing recipes to highlight the best aspects of the coffee and tailor it exactly to your preferences. 

We’ve talked a little bit about the importance of proper extraction in the past, but we thought it would be a good idea to go into more detail about some coffee brewing variables to help you troubleshoot your brew and ensure that you’re getting the amazing cup of coffee you deserve. ",10- 20 years,The United States imports in excess of $4 Billion worth of coffee per year. Americans consume 400 million cups of coffee per day making the United States the leading consumer of coffee in the world.,Female,,26,"Bachelor's (B.A., B.S.)","$65,000 to $80,000",Roman Catholic,,White/European American,,Strongly  conservative 9,Native (learned from birth),no,its about lifestyle and opinions,no,nice survey,Yes,127,0,901071
12/10/2018 12:16,12/10/2018 12:32,IP Address,100,978,TRUE,12/10/2018 12:32,R_2bPA8R3HMnCP9V7,anonymous,EN,I agree,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,2,6,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,7,Disagree strongly 1,Disagree strongly 1,4,7,3,7,5.461,100.952,102.23,13,6,Yes,Supply and demand.,30-40 years,"At this point in my life, storebought pizza is a luxury. I only eat it when I visit the local metropolitan area (around 50 miles away).",4.261,108.901,110.324,14,5,Yes,"Access to live games is far more limited (by expense, location, and seating space) than watching it on television.",40 or more years,I lived four blocks from the Boise State stadium for a decade. I avoid football like it's the plague.,6.465,98.52,99.737,10,"
	Really not good

	1
",Yes,"When your commute is more than about five blocks, a car will get there faster than a bicycle. Many Americans live ten or more miles away from their job. Riding a bicycle to work every day would require hours of time that we just don't have.",40 or more years,As little as possible. I walk whenever I can.,7.96,102.052,103.859,12,5,Yes,"The consistent advance of technology, particularly mobile devices such as smartphones and tablets.",40 or more years,"I watch very little television, less than an hour a week.",6.299,96.637,97.845,12,"Definitely yes

 9",Yes,Worldwide population growth.,30-40 years,I use both every day; I use internet search hourly while I'm awake.,5.324,62.062,105.597,10,5,Yes,"It's quick, easy, doesn't require any thought, and is on trend right now.",40 or more years,"I drink around 12 oz of coffee daily, which I brew in a drip coffeepot or a moka pot.",Female,,36,"Bachelor's (B.A., B.S.)","$5,000 to $10,000",Other,Pagan,White/European American,,Strongly liberal 1,Native (learned from birth),No.,"The questions about ""is such and such inherently"" about a bunch of culturally specific behaviors made me wonder if you're looking at inherent qualities (I forget the word for it) vs. cultural norms.","You're psychologists, of course there is. I have no idea what you're getting at, but there's something.",No.,Yes,36,1,343259
12/10/2018 12:13,12/10/2018 12:33,IP Address,100,1199,TRUE,12/10/2018 12:33,R_YWuLyST25impyOB,anonymous,EN,I agree,Agree strongly 9,Agree strongly 9,Agree strongly 9,6,8,Agree strongly 9,8,4,Agree strongly 9,6,8,8,Neither agree nor disagree 5,7,Neither agree nor disagree 5,3,7,35.478,127.348,128.552,5,"
5",Yes,"Demand. It's like toilet paper. People ""need"" it. So, people will pay almost any price to get it.",10-20 years,"I don't eat as much as I used to. I am overweight, and pizza is high calorie. And I want to eat it until I am extremely full.",147.6,231.446,232.969,6,"
 Really good

 9",No,People are busy. Or at work.,30-40 years,I only watch it when my husband has it on. I will not turn it on for myself. And I only somewhat pay attention to it. I just kind of participate to be close to my husband.,186.002,237.468,255.849,5,5,No,"They will muss up their clothing for work, especially if they are in an office setting.",20-30 years,"I work at home, so I only use my car for the occasional errand.",17.098,56.277,57.546,7,5,Yes,People are addicted to electronics.,10-20 years,It is on all day and night. Mostly as background.,46.306,89.048,102.4,5,5,Yes,You have the world at your fingertips.,10-20 years,"I only check my email once or twice a week. I use google search all day long, multiple times a day.",18.86,76.056,78.245,11,5,Yes,People need the boost of energy they get from the caffeine in coffee.,30-40 years,"I drink coffee and day and all night. I drink instant coffee, so it is always fresh.",Female,,55,Some college,"$50,000 to $65,000",Protestant,,White/European American,,8,Native (learned from birth),No.,Not sure. But something about media consumption habits.,Probably.,The survey should have paid more. At least $2 - $3.,Yes,110,1,107583
12/10/2018 12:29,12/10/2018 12:37,IP Address,100,484,TRUE,12/10/2018 12:38,R_1kZFcfZnUdZfuZj,anonymous,EN,I agree,Agree strongly 9,8,3,4,8,7,7,8,6,Agree strongly 9,3,4,2,7,Agree strongly 9,3,7,0,0,32.934,0,8,Yes,"Demand, price of ingredients",20-30 years,once a week or so,8.125,21.467,57.079,8,"
 Really good

 9",Yes,"it's expensive, parking, prices for food/beer, weather, seats available",40 or more years,"Stream online at home, go to 1 or 2 games a year",26.057,26.057,99.316,1,2,Yes,"laziness, weather, certain dress codes",30-40 years,"Mostly whenever distance, time, or weather doesn't allow walking",31.134,44.655,58.62,3,7,Yes,"technology making it possible, people are on the go",30-40 years,Watching a few shows at a time usually,31.595,31.595,61.205,1,"Definitely yes

 9",Yes,the internet itself as a whole,10-20 years,I check my email throughout the day and use search engines frequently,6.981,11.829,33.395,5,7,Yes,"people rushed in the morning, simplicity, easy cleanup",20-30 years,brew a pot myself every morning,Male,,30,Some college,"$35,000 to $50,000",Atheist,,White/European American,,2,Native (learned from birth),nope,not sure,dont know,nope,Yes,94,1,74213
12/10/2018 12:24,12/10/2018 12:38,IP Address,100,849,TRUE,12/10/2018 12:38,R_9B5kMXHmWJyykSd,anonymous,EN,I agree,Neither agree nor disagree 5,4,Disagree strongly 1,Disagree strongly 1,Neither agree nor disagree 5,4,Disagree strongly 1,Disagree strongly 1,2,4,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,2,3,7,34.391,55.594,112.676,4,6,No,The price of various ingredients has gone up in recent years so retailers have raised their prices in response to rising costs.,10-20 years,I eat about 8 slices per month.,48.132,113.658,114.56,5,5,No,The expense of the tickets and travel required for most games.,10-20 years,I don't watch football.,27.269,61.328,63.179,3,4,Yes,Usually the commute is too far for a bike to be an efficient way to travel.,10-20 years,I drive to the store roughly once a week.,61.919,137.662,139.849,5,7,Yes,The faster internet connections and the ease of access from the growing number of streaming services.,10-20 years,I watch TV for about 4 hours each night and usually leave it running without really watching during the day.,38.683,66.509,97.9,6,"Definitely yes

 9",Yes,It has become more integrated with everyday life and is virtually impossible to do anything without it.,10-20 years,I use my email several times a day and search engines for any questions I might think of.,81.23,130.243,132.295,10,5,Yes,The convenience and wider flavor availability has led to more people preferring this format.,10- 20 years,I drink a cup of coffee every day.,Female,,35,"Bachelor's (B.A., B.S.)","$80,000 to $100,000",Nothing in particular,,Asian/Asian American,,Moderate 5,Native (learned from birth),No,I don't know.,No,No comment.,Yes,34,1,942413
